id,provincia,cantmiem,cantping,reldep,ingtoth,ingpch,gastot,gastotpc,gc_01,gc_02,gc_03,gc_04,gc_05,gc_06,gc_07,gc_08,gc_09,gc_10,gc_11,gc_12
161658298,2,1,1,1.0,56720.0,56720.0,36043.574,36043.574,5719.93,0.0,4800.0,8676.0,381.57,0.0,2594.85,750.0,7482.4,0.0,2814.5,2824.324
811777707,2,1,1,1.0,60720.0,60720.0,31579.584,31579.584,4511.86,0.0,6900.0,8672.0,770.15,0.0,1299.0,1730.0,1970.65,0.0,4308.35,1417.574
168249307,2,2,2,1.0,57633.3333333333,28816.6666666667,33158.9302,16579.4651,12642.8206,268.4167,0.0,6200.0,1076.1111,3782.9911,5549.25,1940.0,600.0,0.0,0.0,1099.3407
673645092,2,1,1,1.0,32666.6666666667,32666.6666666667,56055.98,56055.98,930.95,1082.5,3100.0,12313.6,599.2,0.0,14493.8,2017.0,9359.0,0.0,10781.7,1378.23
446210747,2,1,1,1.0,23833.3333333333,23833.3333333333,23319.577,23319.577,3202.901,2546.04,1550.0,6014.0,0.0,0.0,3767.1,3125.2,397.0,0.0,2113.04,604.296
706399103,2,1,1,1.0,14000.0,14000.0,14512.53,14512.53,2338.2,428.67,320.0,5500.0,413.2,886.6,288.0,368.0,400.0,240.0,2294.9,1034.96
351584182,2,1,1,1.0,24800.0,24800.0,20910.3348,20910.3348,1691.2114,1632.3234,4820.0,5000.0,0.0,0.0,0.0,750.0,2560.0,0.0,4156.8,300.0
136123742,2,3,2,1.5,23983.3333333333,7994.44444444444,22932.365,7644.12166666667,3749.0006,254.0844,2000.0,8100.0,1392.0,186.19,692.8,1000.0,200.0,972.0,2100.05,2286.24
38430558,2,4,2,2.0,42585.3333333333,10646.3333333333,26706.27,6676.5675,7200.79,0.0,1650.0,411.34,0.0,25.0,7552.84,2660.0,3048.0,2525.0,216.5,1416.8
48862074,2,1,1,1.0,15833.3333333333,15833.3333333333,15361.133,15361.133,1260.463,0.0,180.0,10252.61,40.0,0.0,443.51,400.0,1000.0,1200.0,584.55,0.0
448973512,2,2,2,1.0,41153.0,20576.5,52774.9932,26387.4966,8361.4032,2862.13,3425.0,12000.0,2410.8777,11971.6056,649.5,2201.2,2344.0,4270.53,788.06,1490.6867
206659110,2,1,1,1.0,30000.0,30000.0,46657.22,46657.22,7235.43,5802.2,0.0,8047.25,5659.39,6600.0,1840.25,1460.0,2726.6,0.0,6986.1,300.0
484871783,2,2,2,1.0,13233.3333333333,6616.66666666667,11494.6443,5747.32215,5074.76,0.0,0.0,3405.0,614.86,916.7043,0.0,600.0,0.0,0.0,0.0,883.32
625727852,2,2,2,1.0,35000.0,17500.0,36750.11,18375.055,1402.92,0.0,0.0,6775.0,4548.8,5519.6,10182.23,3810.0,1600.0,0.0,1905.2,1006.36
271323017,2,2,2,1.0,10450.0,5225.0,14738.34,7369.17,5711.27,1039.2,2300.0,880.0,25.0,67.2,1034.87,1350.0,1025.0,0.0,866.0,439.8
877869941,2,1,1,1.0,40041.6666666667,40041.6666666667,71564.8526,71564.8526,5531.0554,0.0,9600.0,11280.0,9297.0,1953.0,1142.4705,3134.0,16830.0,0.0,1818.6,10978.7267
890329946,2,2,2,1.0,48861.3333333333,24430.6666666667,28065.5334,14032.7667,10255.8215,0.0,0.0,7600.0,934.5868,891.98,1082.395,1230.0,900.0,0.0,1732.0,3438.7501
58162824,2,1,1,1.0,10500.0,10500.0,10539.79,10539.79,1342.3,0.0,260.0,5000.0,400.0,1475.0,82.27,0.0,1400.0,0.0,580.22,0.0
538433137,2,1,1,1.0,9500.0,9500.0,9677.66,9677.66,476.3,0.0,130.0,5000.0,599.18,0.0,155.88,1387.0,1799.3,0.0,0.0,130.0
129132123,2,1,1,1.0,9333.33333333333,9333.33333333333,12089.249,12089.249,1767.939,0.0,130.0,5000.0,603.51,0.0,0.0,1387.0,2689.8,0.0,0.0,511.0
823886302,2,1,1,1.0,11500.0,11500.0,13525.0991,13525.0991,1150.7841,0.0,4800.0,5000.0,400.0,128.0,0.0,200.0,240.0,0.0,1106.315,500.0
109165282,2,1,1,1.0,34500.0,34500.0,25429.8855,25429.8855,1225.2601,0.0,2200.0,12207.5,478.05,0.0,1528.49,1601.0,2710.0,0.0,2857.8,621.7854
168834546,2,1,1,1.0,35750.0,35750.0,38774.3025,38774.3025,8218.34,3156.57,3100.0,2434.0,1389.17,7133.05,362.6375,732.0,1658.0,0.0,9222.9,1367.635
960251321,2,1,1,1.0,48750.0,48750.0,24914.955,24914.955,64.95,649.5,4400.0,4091.845,0.0,7500.0,863.15,800.0,0.0,0.0,5867.15,678.36
650763517,2,2,2,1.0,49149.1666666667,24574.5833333333,47842.61,23921.305,2165.0,3983.6,3820.0,13423.0,1881.0,1020.0,2666.66,1000.0,3374.8,2350.0,10404.15,1754.4
596331976,2,1,1,1.0,14166.6666666667,14166.6666666667,15754.625,15754.625,3247.5,1238.38,750.0,4500.0,50.0,0.0,1264.945,800.0,0.0,0.0,3723.8,180.0
375650388,2,3,3,1.0,42863.3333333333,14287.7777777778,22784.779,7594.92633333333,7978.458,0.0,2000.0,4800.0,425.7,0.0,1467.87,270.0,480.73,0.0,3705.181,1656.84
880248725,2,1,1,1.0,12333.3333333333,12333.3333333333,18826.54,18826.54,1913.86,0.0,2800.0,4500.0,2148.0,0.0,480.63,720.0,500.0,0.0,5564.05,200.0
410456535,2,1,1,1.0,72053.6666666667,72053.6666666667,33000.6552,33000.6552,2190.7202,2598.0,1500.0,5440.0,1761.5,7308.9265,687.3875,2325.0,3800.0,0.0,3204.2,2184.921
683762654,2,2,2,1.0,45391.6666666667,22695.8333333333,24533.1755,12266.58775,7359.5711,510.94,250.0,5705.0,0.0,368.05,4674.5244,1455.73,964.26,0.0,2179.8,1065.3
273808143,2,1,1,1.0,39064.8333333333,39064.8333333333,42539.2138,42539.2138,1948.5,0.0,0.0,5330.33,12470.0,3500.0,3377.4,1000.0,1780.0,0.0,12122.95,1010.0338
810001844,2,1,1,1.0,2833.33333333333,2833.33333333333,4936.77,4936.77,1463.54,0.0,0.0,2370.34,0.0,0.0,142.89,480.0,480.0,0.0,0.0,0.0
552389563,2,3,2,1.5,65000.0,21666.6666666667,48890.0,16296.6666666667,7967.2,0.0,0.0,4955.0,0.0,8500.0,7964.0,1500.0,1280.0,8400.0,6798.1,1525.7
554598818,2,1,1,1.0,19500.0,19500.0,28855.08,28855.08,4286.7,1645.4,220.0,10400.0,1747.6,389.7,480.63,1033.0,6158.8,0.0,1732.0,761.25
899535995,2,1,1,1.0,37256.0,37256.0,21472.595,21472.595,337.74,420.01,600.0,9501.0,0.0,0.0,253.305,1400.0,4383.0,768.0,2329.54,1480.0
226606895,2,1,1,1.0,14233.3333333333,14233.3333333333,12675.84,12675.84,1775.3,207.84,390.0,5945.0,88.0,3500.0,0.0,300.0,80.0,0.0,389.7,0.0
825921835,2,4,2,2.0,68583.3333333333,17145.8333333333,37952.1033,9488.025825,7643.3593,0.0,2270.0,13893.0,5451.8804,1400.0,2099.21,1381.5,881.5,1200.0,0.0,1731.6536
872069127,2,2,2,1.0,19000.0,9500.0,16436.979,8218.4895,5786.179,0.0,0.0,3790.0,0.0,0.0,365.885,1400.0,700.0,0.0,1948.5,2446.415
777405938,2,1,1,1.0,70166.6666666667,70166.6666666667,56177.2,56177.2,11872.86,0.0,4000.0,12960.0,1092.8,7047.55,922.29,2150.0,3100.0,1750.0,8356.9,2924.8
116936843,2,1,1,1.0,63666.6666666667,63666.6666666667,35619.265,35619.265,2727.9,606.2,6300.0,4625.0,208.0,0.0,2859.965,3420.0,4070.0,4500.0,5802.2,500.0
246068965,2,2,2,1.0,42000.0,21000.0,44235.66,22117.83,7685.75,995.9,3040.0,9602.0,225.16,9699.2,841.29,1640.0,1945.4,2400.0,4459.9,1701.06
436903371,2,1,1,1.0,11250.0,11250.0,21024.44,21024.44,5559.72,0.0,0.0,9602.0,337.74,0.0,735.68,1400.0,0.0,1500.0,909.3,980.0
110108916,2,1,1,1.0,16333.3333333333,16333.3333333333,7942.67,7942.67,2520.06,0.0,498.0,3275.0,0.0,0.0,160.21,400.0,160.0,0.0,779.4,150.0
684663327,2,2,1,2.0,50300.0,25150.0,46378.602,23189.301,8525.77,476.3,2400.0,10391.5,240.0,108.25,6084.83,2100.0,2390.0,480.0,12004.57,1177.382
304490465,2,3,1,3.0,60833.3333333333,20277.7777777778,65654.9626,21884.9875333333,12266.6302,3680.5,5200.0,7300.0,6239.6464,1000.0,2169.33,2750.0,4158.4,0.0,17826.61,3063.846
893488551,2,3,1,3.0,13000.0,4333.33333333333,29302.0181,9767.33936666667,8930.9281,0.0,820.0,12941.5,885.0,303.1,1303.33,1630.0,894.95,0.0,0.0,1593.21
13041649,2,1,1,1.0,61000.0,61000.0,40364.8055,40364.8055,3696.088,0.0,4950.0,3567.0,2451.1735,9264.59,2103.514,1330.0,7674.72,0.0,3442.35,1885.37
363432491,2,2,1,2.0,41126.6666666667,20563.3333333333,31395.6197,15697.80985,4824.053,0.0,1600.0,6622.41,1011.0367,300.0,2351.19,954.81,8316.96,3867.0,194.85,1353.31
661110265,2,3,3,1.0,40638.2466666667,13546.0822222222,23162.998,7720.99933333333,2032.3721,0.0,0.0,1550.0,1259.843,6991.6389,489.29,1395.0,855.0,0.0,4143.81,4446.044
